"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 31 00:54:52 BDT 2025","Thu Jul 31 00:54:52 BDT 2025","496","Mobile Safari","deals/budgetFlow.spec.ts","Budget Flow","","","Navigate from Budget dashboard",""
"skipped","Thu Jul 31 00:54:35 BDT 2025","Thu Jul 31 00:54:35 BDT 2025","1","firefox","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals dashboard",""
"failed","Thu Jul 31 00:55:22 BDT 2025","Thu Jul 31 00:55:22 BDT 2025","4","Google Chrome","deals/budgetFlow.spec.ts","Budget Flow","","","Navigate from Budget dashboard",""
"passed","Thu Jul 31 00:54:49 BDT 2025","Thu Jul 31 00:54:50 BDT 2025","1392","Mobile Chrome","example.spec.ts","","","","has title",""
"passed","Thu Jul 31 00:54:04 BDT 2025","Thu Jul 31 00:54:09 BDT 2025","4760","chromium","deals/createNewDeal.spec.ts","Create New Deal","","","Navigate from Budget dashboard",""
"skipped","Thu Jul 31 00:55:15 BDT 2025","Thu Jul 31 00:55:15 BDT 2025","0","Microsoft Edge","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals dashboard",""
"skipped","Thu Jul 31 00:55:21 BDT 2025","Thu Jul 31 00:55:21 BDT 2025","0","Google Chrome","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals dashboard",""
"broken","Thu Jul 31 00:55:04 BDT 2025","Thu Jul 31 00:55:34 BDT 2025","30217","Microsoft Edge","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals to Budget dashboard",""
"failed","Thu Jul 31 00:54:40 BDT 2025","Thu Jul 31 00:54:41 BDT 2025","549","webkit","deals/createNewDeal.spec.ts","Create New Deal","","","Navigate from Deals to Budget dashboard",""
"passed","Thu Jul 31 00:55:00 BDT 2025","Thu Jul 31 00:55:04 BDT 2025","3060","Microsoft Edge","deals/createNewDeal.spec.ts","Create New Deal","","","Navigate from Budget dashboard",""
"broken","Thu Jul 31 00:54:44 BDT 2025","Thu Jul 31 00:55:14 BDT 2025","30168","Mobile Chrome","deals/createNewDeal.spec.ts","Create New Deal","","","Navigate from Deals to Budget dashboard",""
"failed","Thu Jul 31 00:54:52 BDT 2025","Thu Jul 31 00:54:53 BDT 2025","509","Mobile Safari","deals/createNewDeal.spec.ts","Create New Deal","","","Navigate from Deals to Budget dashboard",""
"failed","Thu Jul 31 00:55:21 BDT 2025","Thu Jul 31 00:55:21 BDT 2025","5","Google Chrome","example.spec.ts","","","","has title",""
"passed","Thu Jul 31 00:54:56 BDT 2025","Thu Jul 31 00:55:00 BDT 2025","4117","Microsoft Edge","deals/budgetFlow.spec.ts","Budget Flow","","","Navigate from Budget dashboard",""
"passed","Thu Jul 31 00:55:17 BDT 2025","Thu Jul 31 00:55:18 BDT 2025","1290","Microsoft Edge","example.spec.ts","","","","get started link",""
"skipped","Thu Jul 31 00:54:55 BDT 2025","Thu Jul 31 00:54:55 BDT 2025","0","Microsoft Edge","adminpanel/adminUserFlow.spec.ts","Admin Flow","","","Navigate from admin dashboard",""
"skipped","Thu Jul 31 00:54:04 BDT 2025","Thu Jul 31 00:54:04 BDT 2025","2","chromium","adminpanel/adminUserFlow.spec.ts","Admin Flow","","","Navigate from admin dashboard",""
"failed","Thu Jul 31 00:54:43 BDT 2025","Thu Jul 31 00:54:43 BDT 2025","604","webkit","example.spec.ts","","","","has title",""
"failed","Thu Jul 31 00:54:54 BDT 2025","Thu Jul 31 00:54:54 BDT 2025","589","Mobile Safari","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals to Budget dashboard",""
"broken","Thu Jul 31 00:54:49 BDT 2025","Thu Jul 31 00:55:19 BDT 2025","30173","Mobile Chrome","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals to Budget dashboard",""
"failed","Thu Jul 31 00:55:21 BDT 2025","Thu Jul 31 00:55:21 BDT 2025","4","Google Chrome","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals to Budget dashboard",""
"skipped","Thu Jul 31 00:54:54 BDT 2025","Thu Jul 31 00:54:54 BDT 2025","1","Mobile Safari","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals dashboard",""
"skipped","Thu Jul 31 00:54:42 BDT 2025","Thu Jul 31 00:54:42 BDT 2025","0","webkit","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals dashboard",""
"skipped","Thu Jul 31 00:54:51 BDT 2025","Thu Jul 31 00:54:51 BDT 2025","1","Mobile Safari","adminpanel/adminUserFlow.spec.ts","Admin Flow","","","Navigate from admin dashboard",""
"broken","Thu Jul 31 00:54:56 BDT 2025","Thu Jul 31 00:55:27 BDT 2025","30224","Microsoft Edge","deals/createNewDeal.spec.ts","Create New Deal","","","Navigate from Deals to Budget dashboard",""
"broken","Thu Jul 31 00:54:04 BDT 2025","Thu Jul 31 00:54:34 BDT 2025","30164","chromium","deals/dealsFlow.spec.ts","Deals to Budget Flow","","","Navigate from Deals to Budget dashboard",""
